loss,learning_rate,epoch,step,eval_loss,eval_rouge1,eval_rouge2,eval_rougeL,eval_rougeLsum,eval_gen_len,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.5997,2.4623655913978497e-05,25.38,11800,,,,,,,,,,,,,,
1.5817,2.4408602150537634e-05,25.59,11900,,,,,,,,,,,,,,
1.5872,2.4193548387096777e-05,25.81,12000,,,,,,,,,,,,,,
,,26.0,12090,1.6163638830184937,17.064,1.8707,14.916,14.9551,19.0,46.3113,21.895,1.382,,,,,
1.5841,2.3978494623655913e-05,26.02,12100,,,,,,,,,,,,,,
1.5868,2.3763440860215056e-05,26.24,12200,,,,,,,,,,,,,,
1.5822,2.3548387096774193e-05,26.45,12300,,,,,,,,,,,,,,
1.5855,2.3333333333333336e-05,26.67,12400,,,,,,,,,,,,,,
1.5819,2.3118279569892472e-05,26.88,12500,,,,,,,,,,,,,,
,,27.0,12555,1.6135145425796509,16.7348,1.753,14.7163,14.7332,19.0,45.8902,22.096,1.395,,,,,
1.5755,2.2903225806451615e-05,27.1,12600,,,,,,,,,,,,,,
1.5529,2.268817204301075e-05,27.31,12700,,,,,,,,,,,,,,
1.5853,2.2473118279569895e-05,27.53,12800,,,,,,,,,,,,,,
1.571,2.2258064516129034e-05,27.74,12900,,,,,,,,,,,,,,
1.5924,2.2043010752688174e-05,27.96,13000,,,,,,,,,,,,,,
,,28.0,13020,1.616279125213623,17.2149,1.828,15.0575,15.0742,19.0,47.5532,21.323,1.346,,,,,
1.5622,2.1827956989247314e-05,28.17,13100,,,,,,,,,,,,,,
1.5746,2.1612903225806454e-05,28.39,13200,,,,,,,,,,,,,,
1.5734,2.1397849462365593e-05,28.6,13300,,,,,,,,,,,,,,
1.5777,2.1182795698924733e-05,28.82,13400,,,,,,,,,,,,,,
,,29.0,13485,1.6127797365188599,17.6275,1.6939,15.3614,15.3953,19.0,46.3068,21.897,1.382,,,,,
1.5705,2.0967741935483873e-05,29.03,13500,,,,,,,,,,,,,,
1.5656,2.0752688172043013e-05,29.25,13600,,,,,,,,,,,,,,
1.5748,2.0537634408602152e-05,29.46,13700,,,,,,,,,,,,,,
1.5465,2.0322580645161292e-05,29.68,13800,,,,,,,,,,,,,,
1.5651,2.0107526881720432e-05,29.89,13900,,,,,,,,,,,,,,
,,30.0,13950,1.6117095947265625,17.468,1.8185,15.2695,15.2784,19.0,44.3484,22.864,1.443,,,,,
1.5603,1.989247311827957e-05,30.11,14000,,,,,,,,,,,,,,
1.576,1.967741935483871e-05,30.32,14100,,,,,,,,,,,,,,
1.5613,1.9462365591397848e-05,30.54,14200,,,,,,,,,,,,,,
1.5551,1.924731182795699e-05,30.75,14300,,,,,,,,,,,,,,
1.5563,1.9032258064516127e-05,30.97,14400,,,,,,,,,,,,,,
,,31.0,14415,1.6053155660629272,17.9434,1.7859,15.6356,15.6569,19.0,44.9064,22.58,1.425,,,,,
1.565,1.881720430107527e-05,31.18,14500,,,,,,,,,,,,,,
1.5529,1.860215053763441e-05,31.4,14600,,,,,,,,,,,,,,
1.5556,1.838709677419355e-05,31.61,14700,,,,,,,,,,,,,,
1.5503,1.817204301075269e-05,31.83,14800,,,,,,,,,,,,,,
,,32.0,14880,1.6062606573104858,17.9635,1.8389,15.6256,15.6761,19.0,46.2226,21.937,1.385,,,,,
1.5515,1.795698924731183e-05,32.04,14900,,,,,,,,,,,,,,
1.5454,1.774193548387097e-05,32.26,15000,,,,,,,,,,,,,,
1.5506,1.752688172043011e-05,32.47,15100,,,,,,,,,,,,,,
1.5581,1.7311827956989248e-05,32.69,15200,,,,,,,,,,,,,,
1.5473,1.7096774193548388e-05,32.9,15300,,,,,,,,,,,,,,
,,33.0,15345,1.6029287576675415,17.714,1.8027,15.4189,15.4294,19.0,47.8091,21.209,1.339,,,,,
1.5524,1.6881720430107528e-05,33.12,15400,,,,,,,,,,,,,,
1.543,1.6666666666666667e-05,33.33,15500,,,,,,,,,,,,,,
1.5319,1.6451612903225807e-05,33.55,15600,,,,,,,,,,,,,,
1.5424,1.6236559139784947e-05,33.76,15700,,,,,,,,,,,,,,
1.5638,1.6021505376344087e-05,33.98,15800,,,,,,,,,,,,,,
,,34.0,15810,1.5984896421432495,17.9947,2.0185,15.6974,15.7271,19.0,45.8635,22.109,1.395,,,,,
1.5624,1.5806451612903226e-05,34.19,15900,,,,,,,,,,,,,,
1.5524,1.5591397849462366e-05,34.41,16000,,,,,,,,,,,,,,
1.5451,1.5376344086021506e-05,34.62,16100,,,,,,,,,,,,,,
1.5433,1.5161290322580646e-05,34.84,16200,,,,,,,,,,,,,,
,,35.0,16275,1.601790189743042,17.6526,1.9403,15.4916,15.5224,19.0,48.1792,21.046,1.328,,,,,
1.5344,1.4946236559139787e-05,35.05,16300,,,,,,,,,,,,,,
1.5441,1.4731182795698925e-05,35.27,16400,,,,,,,,,,,,,,
1.5378,1.4516129032258066e-05,35.48,16500,,,,,,,,,,,,,,
1.5408,1.4301075268817205e-05,35.7,16600,,,,,,,,,,,,,,
1.5207,1.4086021505376346e-05,35.91,16700,,,,,,,,,,,,,,
,,36.0,16740,1.5981236696243286,17.7801,1.9285,15.447,15.4682,19.0,46.4715,21.82,1.377,,,,,
1.5352,1.3870967741935484e-05,36.13,16800,,,,,,,,,,,,,,
1.5411,1.3655913978494625e-05,36.34,16900,,,,,,,,,,,,,,
1.5507,1.3440860215053763e-05,36.56,17000,,,,,,,,,,,,,,
1.5175,1.3225806451612905e-05,36.77,17100,,,,,,,,,,,,,,
1.535,1.3010752688172043e-05,36.99,17200,,,,,,,,,,,,,,
,,37.0,17205,1.598347783088684,18.2625,2.0964,15.8567,15.8905,19.0,45.7537,22.162,1.399,,,,,
1.5265,1.2795698924731184e-05,37.2,17300,,,,,,,,,,,,,,
1.5239,1.2580645161290322e-05,37.42,17400,,,,,,,,,,,,,,
1.5385,1.2365591397849464e-05,37.63,17500,,,,,,,,,,,,,,
1.5357,1.2150537634408604e-05,37.85,17600,,,,,,,,,,,,,,
,,38.0,17670,1.5948160886764526,18.5121,1.9557,15.8896,15.9364,19.0,44.2372,22.922,1.447,,,,,
1.5254,1.1935483870967743e-05,38.06,17700,,,,,,,,,,,,,,
1.5106,1.1720430107526883e-05,38.28,17800,,,,,,,,,,,,,,
1.5321,1.1505376344086021e-05,38.49,17900,,,,,,,,,,,,,,
1.5449,1.129032258064516e-05,38.71,18000,,,,,,,,,,,,,,
1.5297,1.10752688172043e-05,38.92,18100,,,,,,,,,,,,,,
,,39.0,18135,1.5942094326019287,18.5078,2.1272,16.0039,16.0488,19.0,47.3634,21.409,1.351,,,,,
1.5349,1.086021505376344e-05,39.14,18200,,,,,,,,,,,,,,
1.5103,1.064516129032258e-05,39.35,18300,,,,,,,,,,,,,,
